id,kodeunit,namaunit,bulan,jumlah,tahun,created_at
105.0,10900.0,Fakultas Kesehatan Masyarakat,1900-09-01,2491320418.0,2019-01-01,2023-09-18 10:27:23.241072
106.0,10900.0,Fakultas Kesehatan Masyarakat,1900-10-01,2255523886.0,2019-01-01,2023-09-18 10:27:23.302688
107.0,10900.0,Fakultas Kesehatan Masyarakat,1900-11-01,1625497629.0,2019-01-01,2023-09-18 10:27:23.411491
108.0,10900.0,Fakultas Kesehatan Masyarakat,1900-12-01,4194052283.0,2019-01-01,2023-09-18 10:27:23.461819
109.0,11000.0,Fakultas Psikologi,1900-01-01,190566424.0,2019-01-01,2023-09-18 10:27:23.528763
110.0,11000.0,Fakultas Psikologi,1900-02-01,400826617.0,2019-01-01,2023-09-18 10:27:23.578667
111.0,11000.0,Fakultas Psikologi,1900-03-01,416777401.0,2019-01-01,2023-09-18 10:27:23.68756
112.0,11000.0,Fakultas Psikologi,1900-04-01,657971710.0,2019-01-01,2023-09-18 10:27:23.753785
113.0,11000.0,Fakultas Psikologi,1900-05-01,1247048976.0,2019-01-01,2023-09-18 10:27:23.820739
114.0,11000.0,Fakultas Psikologi,1900-06-01,427691892.0,2019-01-01,2023-09-18 10:27:23.887113
115.0,11000.0,Fakultas Psikologi,1900-07-01,886920065.0,2019-01-01,2023-09-18 10:27:23.954073
116.0,11000.0,Fakultas Psikologi,1900-08-01,1552969509.0,2019-01-01,2023-09-18 10:27:24.021278
117.0,11000.0,Fakultas Psikologi,1900-09-01,698927195.0,2019-01-01,2023-09-18 10:27:24.08789
118.0,11000.0,Fakultas Psikologi,1900-10-01,969984617.0,2019-01-01,2023-09-18 10:27:24.185807
119.0,11000.0,Fakultas Psikologi,1900-11-01,715575194.0,2019-01-01,2023-09-18 10:27:24.369747
120.0,11000.0,Fakultas Psikologi,1900-12-01,2598383949.0,2019-01-01,2023-09-18 10:27:24.455319
121.0,11100.0,Fakultas Ilmu Budaya,1900-02-01,331346585.0,2019-01-01,2023-09-18 10:27:24.505038
122.0,11100.0,Fakultas Ilmu Budaya,1900-03-01,695276944.0,2019-01-01,2023-09-18 10:27:24.555008
123.0,11100.0,Fakultas Ilmu Budaya,1900-04-01,770456774.0,2019-01-01,2023-09-18 10:27:24.60524
124.0,11100.0,Fakultas Ilmu Budaya,1900-05-01,1436519330.0,2019-01-01,2023-09-18 10:27:24.681079
125.0,11100.0,Fakultas Ilmu Budaya,1900-06-01,486766969.0,2019-01-01,2023-09-18 10:27:24.730284
126.0,11100.0,Fakultas Ilmu Budaya,1900-07-01,963280113.0,2019-01-01,2023-09-18 10:27:24.779499
127.0,11100.0,Fakultas Ilmu Budaya,1900-08-01,821963030.0,2019-01-01,2023-09-18 10:27:24.813664
128.0,11100.0,Fakultas Ilmu Budaya,1900-09-01,986050918.0,2019-01-01,2023-09-18 10:27:24.955623
129.0,11100.0,Fakultas Ilmu Budaya,1900-10-01,1040880068.0,2019-01-01,2023-09-18 10:27:25.055109
130.0,11100.0,Fakultas Ilmu Budaya,1900-11-01,1336443631.0,2019-01-01,2023-09-18 10:27:25.122275
131.0,11100.0,Fakultas Ilmu Budaya,1900-12-01,2554716598.0,2019-01-01,2023-09-18 10:27:25.182858
132.0,11200.0,Fakultas Keperawatan,1900-01-01,75193584.0,2019-01-01,2023-09-18 10:27:25.256245
133.0,11200.0,Fakultas Keperawatan,1900-02-01,257934554.0,2019-01-01,2023-09-18 10:27:25.322772
134.0,11200.0,Fakultas Keperawatan,1900-03-01,388478330.0,2019-01-01,2023-09-18 10:27:25.389493
135.0,11200.0,Fakultas Keperawatan,1900-04-01,384414619.0,2019-01-01,2023-09-18 10:27:25.456611
136.0,11200.0,Fakultas Keperawatan,1900-05-01,992775173.0,2019-01-01,2023-09-18 10:27:25.511718
137.0,11200.0,Fakultas Keperawatan,1900-06-01,766528420.0,2019-01-01,2023-09-18 10:27:25.573153
138.0,11200.0,Fakultas Keperawatan,1900-07-01,512987335.0,2019-01-01,2023-09-18 10:27:25.66484
139.0,11200.0,Fakultas Keperawatan,1900-08-01,613571794.0,2019-01-01,2023-09-18 10:27:25.720723
140.0,11200.0,Fakultas Keperawatan,1900-09-01,1229960684.0,2019-01-01,2023-09-18 10:27:25.9128
